index,name
0,Tregs in LNs
4,Treg/Tcyt in LNs
9,(Th+Tcyt)/T cells in LNs
11,Tcyt/T cells in LNs
12,Treg/T cells in LNs
13,APCs in LNs
15,Tcyt evenness in LNs
