index,name
2,Carrying capacity
3,Angiogenic factor
6,mAPC
8,TGFb
10,MDSC
13,CCL2
14,M1 Mac
16,IL12
19,Treg/Tcyt
20,Th/Tcyt
26,Tcyt/T cells
27,Treg/T cells
36,Immune supp. cell fraction
42,Treg fraction
57,Tumor diameter
