index,name
1,Exhausted Th
2,Carrying capacity
3,Angiogenic factor
4,Treg
6,mAPC
8,TGFb
10,MDSC
11,NO
12,ArgI
13,CCL2
16,IL12
19,Treg/Tcyt
20,Th/Tcyt
26,Tcyt/T cells
27,Treg/T cells
28,Mac
33,Immune supp. cells
36,Immune supp. cell fraction
42,Treg fraction
49,Exhausted Th fraction
57,Tumor diameter
